DateTime,High,Low,Open,Close,TotalVolume,PeriodVolume,Unknown
2024-03-01 16:00:00,137.1400,137.0800,137.1400,137.0800,29913736,3235292,0
2024-03-01 15:59:00,137.1600,137.0800,137.1100,137.1300,26557586,560620,0
2024-03-01 15:58:00,137.1150,137.0500,137.0579,137.1100,25906253,281096,0
2024-03-01 15:57:00,137.1300,137.0000,137.1100,137.0550,25575702,235711,0
2024-03-01 15:56:00,137.1200,137.0600,137.1000,137.1150,25284823,234191,0
2024-03-01 15:55:00,137.1700,137.0700,137.1000,137.1082,24999146,201675,0
2024-03-01 15:54:00,137.2200,137.0800,137.1378,137.1100,24744498,234670,0
2024-03-01 15:53:00,137.1450,137.0600,137.0800,137.1400,24436788,140785,0
2024-03-01 15:52:00,137.0750,136.9500,136.9700,137.0750,24221560,158419,0
2024-03-01 15:51:00,137.0100,136.9200,136.9550,136.9900,24007005,183297,0
2024-03-01 15:50:00,137.0700,136.9500,137.0600,136.9600,23775161,266119,0
2024-03-01 15:49:00,137.0950,137.0600,137.0700,137.0700,23451128,108243,0
2024-03-01 15:48:00,137.1800,137.0600,137.1460,137.0700,23322370,119915,0
2024-03-01 15:47:00,137.2200,137.1100,137.2200,137.1500,23175367,113805,0
2024-03-01 15:46:00,137.2950,137.1950,137.2501,137.2200,23035657,89063,0
2024-03-01 15:45:00,137.2700,137.1700,137.2600,137.2600,22927735,114099,0
2024-03-01 15:44:00,137.3300,137.2000,137.2000,137.2600,22787696,112969,0
2024-03-01 15:43:00,137.2550,137.1550,137.2200,137.2000,22654273,133663,0
2024-03-01 15:42:00,137.3100,137.2100,137.3000,137.2200,22496481,98717,0
2024-03-01 15:41:00,137.3850,137.2900,137.3300,137.3000,22371888,118201,0
2024-03-01 15:40:00,137.3450,137.2700,137.3100,137.3300,22233034,68808,0
2024-03-01 15:39:00,137.3600,137.3000,137.3449,137.3200,22145683,62994,0
2024-03-01 15:38:00,137.4400,137.3100,137.4400,137.3490,22061941,58454,0
2024-03-01 15:37:00,137.4550,137.3500,137.4500,137.4350,21986988,69428,0
2024-03-01 15:36:00,137.5000,137.4300,137.4319,137.4600,21893895,53326,0
2024-03-01 15:35:00,137.4400,137.3300,137.3400,137.4400,21824119,78790,0
2024-03-01 15:34:00,137.4200,137.3300,137.3900,137.3450,21727334,70564,0
2024-03-01 15:33:00,137.5199,137.3900,137.5000,137.3950,21627824,115769,0
2024-03-01 15:32:00,137.5400,137.4600,137.4900,137.5000,21476642,63499,0
2024-03-01 15:31:00,137.6650,137.4800,137.6500,137.4900,21393774,103731,0
2024-03-01 15:30:00,137.6700,137.6150,137.6550,137.6450,21247630,56384,0
2024-03-01 15:29:00,137.7400,137.6500,137.7350,137.6560,21166190,43435,0
2024-03-01 15:28:00,137.8000,137.7300,137.8000,137.7350,21108358,29155,0
2024-03-01 15:27:00,137.8100,137.7650,137.7650,137.8050,21066564,26483,0
2024-03-01 15:26:00,137.7900,137.7400,137.7800,137.7500,21028555,35952,0
2024-03-01 15:25:00,137.8250,137.7600,137.7600,137.7800,20980729,94904,0
2024-03-01 15:24:00,137.8500,137.7500,137.8300,137.7600,20869277,135853,0
2024-03-01 15:23:00,137.8400,137.8100,137.8250,137.8200,20704586,47034,0
2024-03-01 15:22:00,137.8400,137.7600,137.8400,137.8300,20646066,37531,0
2024-03-01 15:21:00,137.8900,137.8400,137.8900,137.8400,20593993,49207,0
2024-03-01 15:20:00,137.9750,137.8500,137.9665,137.8801,20530210,65388,0
2024-03-01 15:19:00,137.9900,137.9150,137.9250,137.9650,20446762,44298,0
2024-03-01 15:18:00,137.9500,137.8600,137.8650,137.9250,20393092,69779,0
2024-03-01 15:17:00,137.8770,137.8000,137.8000,137.8600,20313776,32977,0
2024-03-01 15:16:00,137.8100,137.7400,137.7571,137.8100,20272281,44842,0
2024-03-01 15:15:00,137.8500,137.7300,137.8500,137.7600,20218740,75380,0
2024-03-01 15:14:00,137.8700,137.7878,137.7900,137.8500,20129595,54809,0
2024-03-01 15:13:00,137.8300,137.7800,137.8281,137.7900,20060925,38845,0
2024-03-01 15:12:00,137.8400,137.7800,137.8200,137.8250,20010523,50201,0
2024-03-01 15:11:00,137.9050,137.8150,137.8900,137.8250,19949674,54705,0
